station_id,sensor_name,sensor_code,quantity,unit,dt,value,lat,lon,codseqst,point,quota,aggiornamento,gestore,provincia
STA_44.371_11.3399,ARPAE Station STA_44.371_11.3399,PREC,Precipitazione,mm,2026-06-21T12:00:00,0.0,44.37101,11.3399,STA_44.371_11.3399,"{""type"": ""Point"", ""coordinates"": [11.3399, 44.37101]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_43.927_12.5806,ARPAE Station STA_43.927_12.5806,TARIA2M,Temperatura aria a 2m,°C,2026-06-21T12:30:00,30.400000000000034,43.92705,12.58065,STA_43.927_12.5806,"{""type"": ""Point"", ""coordinates"": [12.58065, 43.92705]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_43.927_12.5806,ARPAE Station STA_43.927_12.5806,PREC,Precipitazione,mm,2026-06-21T12:45:00,0.0,43.92705,12.58065,STA_43.927_12.5806,"{""type"": ""Point"", ""coordinates"": [12.58065, 43.92705]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_44.4177_11.9133,ARPAE Station STA_44.4177_11.9133,PRESS,Pressione atmosferica,hPa,2026-06-21T14:30:00,1017.5,44.4177,11.91331,STA_44.4177_11.9133,"{""type"": ""Point"", ""coordinates"": [11.91331, 44.4177]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_44.5613_12.2439,ARPAE Station STA_44.5613_12.2439,PREC,Precipitazione,mm,2026-06-21T14:45:00,0.0,44.56128,12.24389,STA_44.5613_12.2439,"{""type"": ""Point"", ""coordinates"": [12.24389, 44.56128]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_44.421_11.8088,ARPAE Station STA_44.421_11.8088,PREC,Precipitazione,mm,2026-06-21T14:45:00,0.0,44.42099,11.80877,STA_44.421_11.8088,"{""type"": ""Point"", ""coordinates"": [11.80877, 44.42099]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_44.4177_11.9133,ARPAE Station STA_44.4177_11.9133,PREC,Precipitazione,mm,2026-06-21T14:45:00,0.0,44.4177,11.91331,STA_44.4177_11.9133,"{""type"": ""Point"", ""coordinates"": [11.91331, 44.4177]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_43.8701_11.8387,ARPAE Station STA_43.8701_11.8387,PREC,Precipitazione,mm,2026-06-21T15:00:00,0.0,43.87008,11.83866,STA_43.8701_11.8387,"{""type"": ""Point"", ""coordinates"": [11.83866, 43.87008]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_43.9252_11.8919,ARPAE Station STA_43.9252_11.8919,PREC,Precipitazione,mm,2026-06-21T15:00:00,0.0,43.92525,11.89186,STA_43.9252_11.8919,"{""type"": ""Point"", ""coordinates"": [11.89186, 43.92525]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_43.8718_11.7472,ARPAE Station STA_43.8718_11.7472,PREC,Precipitazione,mm,2026-06-21T15:00:00,0.0,43.87178,11.7472,STA_43.8718_11.7472,"{""type"": ""Point"", ""coordinates"": [11.7472, 43.87178]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_43.9226_11.9577,ARPAE Station STA_43.9226_11.9577,PREC,Precipitazione,mm,2026-06-21T15:00:00,0.0,43.92264,11.95766,STA_43.9226_11.9577,"{""type"": ""Point"", ""coordinates"": [11.95766, 43.92264]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_43.8318_11.8377,ARPAE Station STA_43.8318_11.8377,PREC,Precipitazione,mm,2026-06-21T15:00:00,0.0,43.83175,11.83771,STA_43.8318_11.8377,"{""type"": ""Point"", ""coordinates"": [11.83771, 43.83175]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_43.9582_12.7003,ARPAE Station STA_43.9582_12.7003,PREC,Precipitazione,mm,2026-06-21T15:00:00,0.0,43.95818,12.70026,STA_43.9582_12.7003,"{""type"": ""Point"", ""coordinates"": [12.70026, 43.95818]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_43.8701_11.8387,ARPAE Station STA_43.8701_11.8387,PRESS,Pressione atmosferica,hPa,2026-06-21T15:00:00,958.7,43.87008,11.83866,STA_43.8701_11.8387,"{""type"": ""Point"", ""coordinates"": [11.83866, 43.87008]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_43.9252_11.8919,ARPAE Station STA_43.9252_11.8919,PRESS,Pressione atmosferica,hPa,2026-06-21T15:00:00,985.0,43.92525,11.89186,STA_43.9252_11.8919,"{""type"": ""Point"", ""coordinates"": [11.89186, 43.92525]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_44.2635_11.3416,ARPAE Station STA_44.2635_11.3416,PREC,Precipitazione,mm,2026-06-21T15:00:00,0.0,44.26352,11.34155,STA_44.2635_11.3416,"{""type"": ""Point"", ""coordinates"": [11.34155, 44.26352]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_44.0816_11.033,ARPAE Station STA_44.0816_11.033,TARIA2M,Temperatura aria a 2m,°C,2026-06-21T15:00:00,27.700000000000045,44.08158,11.03296,STA_44.0816_11.033,"{""type"": ""Point"", ""coordinates"": [11.03296, 44.08158]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
STA_44.2609_11.3282,ARPAE Station STA_44.2609_11.3282,PRESS,Pressione atmosferica,hPa,2026-06-21T15:00:00,939.6,44.26086,11.32819,STA_44.2609_11.3282,"{""type"": ""Point"", ""coordinates"": [11.32819, 44.26086]}",0.0,2026-06-21T17:58:46,ARPAE,Emilia-Romagna
