station_id,sensor_name,sensor_code,quantity,unit,dt,value,lat,lon,codseqst,point,quota,aggiornamento,gestore,provincia
MAR_Pesaro,Marche Virtual - Pesaro,TARIA2M,Temperatura aria a 2m,°C,2026-04-10T20:30,14.7,43.91,12.91,9943911291,"{""type"": ""Point"", ""coordinates"": [12.91, 43.91]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Pesaro,Marche Virtual - Pesaro,PRESS,Pressione atmosferica,hPa,2026-04-10T20:30,1013.2,43.91,12.91,9943911291,"{""type"": ""Point"", ""coordinates"": [12.91, 43.91]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Pesaro,Marche Virtual - Pesaro,VV,Velocità vento,m/s,2026-04-10T20:30,1.11,43.91,12.91,9943911291,"{""type"": ""Point"", ""coordinates"": [12.91, 43.91]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Pesaro,Marche Virtual - Pesaro,PREC,Precipitazione,mm,2026-04-10T20:30,0.0,43.91,12.91,9943911291,"{""type"": ""Point"", ""coordinates"": [12.91, 43.91]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Fano,Marche Virtual - Fano,TARIA2M,Temperatura aria a 2m,°C,2026-04-10T20:30,14.6,43.84,13.01,9943841301,"{""type"": ""Point"", ""coordinates"": [13.01, 43.84]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Fano,Marche Virtual - Fano,PRESS,Pressione atmosferica,hPa,2026-04-10T20:30,1012.5,43.84,13.01,9943841301,"{""type"": ""Point"", ""coordinates"": [13.01, 43.84]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Fano,Marche Virtual - Fano,VV,Velocità vento,m/s,2026-04-10T20:30,0.92,43.84,13.01,9943841301,"{""type"": ""Point"", ""coordinates"": [13.01, 43.84]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Fano,Marche Virtual - Fano,PREC,Precipitazione,mm,2026-04-10T20:30,0.0,43.84,13.01,9943841301,"{""type"": ""Point"", ""coordinates"": [13.01, 43.84]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Senigallia,Marche Virtual - Senigallia,TARIA2M,Temperatura aria a 2m,°C,2026-04-10T20:30,14.9,43.71,13.21,9943711321,"{""type"": ""Point"", ""coordinates"": [13.21, 43.71]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Senigallia,Marche Virtual - Senigallia,PRESS,Pressione atmosferica,hPa,2026-04-10T20:30,1013.2,43.71,13.21,9943711321,"{""type"": ""Point"", ""coordinates"": [13.21, 43.71]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Senigallia,Marche Virtual - Senigallia,VV,Velocità vento,m/s,2026-04-10T20:30,1.19,43.71,13.21,9943711321,"{""type"": ""Point"", ""coordinates"": [13.21, 43.71]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Senigallia,Marche Virtual - Senigallia,PREC,Precipitazione,mm,2026-04-10T20:30,0.0,43.71,13.21,9943711321,"{""type"": ""Point"", ""coordinates"": [13.21, 43.71]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Ancona,Marche Virtual - Ancona,TARIA2M,Temperatura aria a 2m,°C,2026-04-10T20:30,14.8,43.61,13.51,9943611351,"{""type"": ""Point"", ""coordinates"": [13.51, 43.61]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Ancona,Marche Virtual - Ancona,PRESS,Pressione atmosferica,hPa,2026-04-10T20:30,1005.4,43.61,13.51,9943611351,"{""type"": ""Point"", ""coordinates"": [13.51, 43.61]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Ancona,Marche Virtual - Ancona,VV,Velocità vento,m/s,2026-04-10T20:30,3.06,43.61,13.51,9943611351,"{""type"": ""Point"", ""coordinates"": [13.51, 43.61]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Ancona,Marche Virtual - Ancona,PREC,Precipitazione,mm,2026-04-10T20:30,0.0,43.61,13.51,9943611351,"{""type"": ""Point"", ""coordinates"": [13.51, 43.61]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Civitanova_Marche,Marche Virtual - Civitanova Marche,TARIA2M,Temperatura aria a 2m,°C,2026-04-10T20:30,14.0,43.3,13.72,994331372,"{""type"": ""Point"", ""coordinates"": [13.72, 43.3]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Civitanova_Marche,Marche Virtual - Civitanova Marche,PRESS,Pressione atmosferica,hPa,2026-04-10T20:30,1013.6,43.3,13.72,994331372,"{""type"": ""Point"", ""coordinates"": [13.72, 43.3]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Civitanova_Marche,Marche Virtual - Civitanova Marche,VV,Velocità vento,m/s,2026-04-10T20:30,1.28,43.3,13.72,994331372,"{""type"": ""Point"", ""coordinates"": [13.72, 43.3]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_Civitanova_Marche,Marche Virtual - Civitanova Marche,PREC,Precipitazione,mm,2026-04-10T20:30,0.0,43.3,13.72,994331372,"{""type"": ""Point"", ""coordinates"": [13.72, 43.3]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_San_Benedetto_del_Tronto,Marche Virtual - San Benedetto del Tronto,TARIA2M,Temperatura aria a 2m,°C,2026-04-10T20:30,15.2,42.95,13.88,9942951388,"{""type"": ""Point"", ""coordinates"": [13.88, 42.95]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_San_Benedetto_del_Tronto,Marche Virtual - San Benedetto del Tronto,PRESS,Pressione atmosferica,hPa,2026-04-10T20:30,1013.6,42.95,13.88,9942951388,"{""type"": ""Point"", ""coordinates"": [13.88, 42.95]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_San_Benedetto_del_Tronto,Marche Virtual - San Benedetto del Tronto,VV,Velocità vento,m/s,2026-04-10T20:30,1.03,42.95,13.88,9942951388,"{""type"": ""Point"", ""coordinates"": [13.88, 42.95]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
MAR_San_Benedetto_del_Tronto,Marche Virtual - San Benedetto del Tronto,PREC,Precipitazione,mm,2026-04-10T20:30,0.0,42.95,13.88,9942951388,"{""type"": ""Point"", ""coordinates"": [13.88, 42.95]}",5.0,2026-04-10T20:30:43,ARPAM_VIRTUAL,Marche
