station_id,sensor_id,sensor_code,sensor_name,quantity,unit,dt,value,lat,lon,station_name
1,1,RR,RR,,mm,2026-06-21 16:00:00,0.0,46.115211,13.229024,Adegliacco
1,30,P,Pluviometro,,mm,2026-06-21 16:00:00,0.0,46.115211,13.229024,Adegliacco
1,52,Prec_5_min,Precipitazione 5 min,,mm,2026-06-21 16:00:00,0.0,46.115211,13.229024,Adegliacco
1,53,Prec_60_min,Precipitazione 60 min,,mm,2026-06-21 16:00:00,0.0,46.115211,13.229024,Adegliacco
1,54,Prec_3_ore,Precipitazione 3 ore,,mm,2026-06-21 16:00:00,0.0,46.115211,13.229024,Adegliacco
1,55,Prec_6_ore,Precipitazione 6 ore,,mm,2026-06-21 16:00:00,0.0,46.115211,13.229024,Adegliacco
1,56,Prec_12_ore,Precipitazione 12 ore,,mm,2026-06-21 16:00:00,0.0,46.115211,13.229024,Adegliacco
1,57,Prec_24_ore,Precipitazione 24 ore,,mm,2026-06-21 16:00:00,0.0,46.115211,13.229024,Adegliacco
1,58,Prec_48_ore,Precipitazione 48 ore,,mm,2026-06-21 16:00:00,0.0,46.115211,13.229024,Adegliacco
1,85,P_1h,Pioggia oraria,,mm,2026-06-21 16:00:00,0.0,46.115211,13.229024,Adegliacco
2,1,RR,RR,,mm,2026-06-21 16:00:00,0.0,46.309217,13.055607,Alesso
2,2,T,Temperatura aria,,°C,2026-06-21 16:00:00,34.1,46.309217,13.055607,Alesso
2,30,P,Pluviometro,,mm,2026-06-21 16:00:00,0.0,46.309217,13.055607,Alesso
2,52,Prec_5_min,Precipitazione 5 min,,mm,2026-06-21 16:00:00,0.0,46.309217,13.055607,Alesso
2,53,Prec_60_min,Precipitazione 60 min,,mm,2026-06-21 16:00:00,0.0,46.309217,13.055607,Alesso
2,54,Prec_3_ore,Precipitazione 3 ore,,mm,2026-06-21 16:00:00,0.0,46.309217,13.055607,Alesso
2,55,Prec_6_ore,Precipitazione 6 ore,,mm,2026-06-21 16:00:00,0.0,46.309217,13.055607,Alesso
2,56,Prec_12_ore,Precipitazione 12 ore,,mm,2026-06-21 16:00:00,0.0,46.309217,13.055607,Alesso
2,57,Prec_24_ore,Precipitazione 24 ore,,mm,2026-06-21 16:00:00,0.6,46.309217,13.055607,Alesso
2,58,Prec_48_ore,Precipitazione 48 ore,,mm,2026-06-21 16:00:00,0.6,46.309217,13.055607,Alesso
2,85,P_1h,Pioggia oraria,,mm,2026-06-21 16:00:00,0.0,46.309217,13.055607,Alesso
2,143,STSpluv (RAW),Stato Pluv (RAW),,sts,2026-06-21 16:00:00,0.0,46.309217,13.055607,Alesso
2,48,CAR,Corrente di carica,,mA,2026-06-21 16:00:00,359.0,46.309217,13.055607,Alesso
2,49,SCAR,Corrente di scarica,,mA,2026-06-21 16:00:00,55.0,46.309217,13.055607,Alesso
3,85,P_1h,Pioggia oraria,,mm,2026-06-21 16:00:00,0.0,46.117875,13.165936,Alnicco
3,1,RR,RR,,mm,2026-06-21 16:15:00,0.0,46.117875,13.165936,Alnicco
3,30,P,Pluviometro,,mm,2026-06-21 16:15:00,0.0,46.117875,13.165936,Alnicco
3,52,Prec_5_min,Precipitazione 5 min,,mm,2026-06-21 16:15:00,0.0,46.117875,13.165936,Alnicco
3,53,Prec_60_min,Precipitazione 60 min,,mm,2026-06-21 16:15:00,0.0,46.117875,13.165936,Alnicco
3,54,Prec_3_ore,Precipitazione 3 ore,,mm,2026-06-21 16:15:00,0.0,46.117875,13.165936,Alnicco
3,56,Prec_12_ore,Precipitazione 12 ore,,mm,2026-06-21 16:15:00,0.0,46.117875,13.165936,Alnicco
3,57,Prec_24_ore,Precipitazione 24 ore,,mm,2026-06-21 16:15:00,0.0,46.117875,13.165936,Alnicco
3,58,Prec_48_ore,Precipitazione 48 ore,,mm,2026-06-21 16:15:00,0.0,46.117875,13.165936,Alnicco
3,2,T,Temperatura aria,,°C,2026-06-21 16:15:00,33.8,46.117875,13.165936,Alnicco
3,3,U,Igrometro,,%,2026-06-21 16:15:00,36.5,46.117875,13.165936,Alnicco
3,143,STSpluv (RAW),Stato Pluv (RAW),,sts,2026-06-21 16:15:00,0.0,46.117875,13.165936,Alnicco
3,48,CAR,Corrente di carica,,mA,2026-06-21 16:15:00,128.0,46.117875,13.165936,Alnicco
3,49,SCAR,Corrente di scarica,,mA,2026-06-21 16:15:00,89.0,46.117875,13.165936,Alnicco
4,85,P_1h,Pioggia oraria,,mm,2026-06-21 16:00:00,0.0,46.198832,12.611949,Andreis
4,1,RR,RR,,mm,2026-06-21 16:15:00,0.0,46.198832,12.611949,Andreis
4,2,T,Temperatura aria,,°C,2026-06-21 16:15:00,27.0,46.198832,12.611949,Andreis
4,3,U,Igrometro,,%,2026-06-21 16:15:00,68.3,46.198832,12.611949,Andreis
4,17,B,Barometro,,hPa,2026-06-21 16:15:00,975.5,46.198832,12.611949,Andreis
4,23,NIVO,Nivometro,,cm,2026-06-21 16:15:00,32.0,46.198832,12.611949,Andreis
4,30,P,Pluviometro,,mm,2026-06-21 16:15:00,0.0,46.198832,12.611949,Andreis
4,52,Prec_5_min,Precipitazione 5 min,,mm,2026-06-21 16:15:00,0.0,46.198832,12.611949,Andreis
4,53,Prec_60_min,Precipitazione 60 min,,mm,2026-06-21 16:15:00,0.0,46.198832,12.611949,Andreis
4,54,Prec_3_ore,Precipitazione 3 ore,,mm,2026-06-21 16:15:00,0.0,46.198832,12.611949,Andreis
4,55,Prec_6_ore,Precipitazione 6 ore,,mm,2026-06-21 16:15:00,0.0,46.198832,12.611949,Andreis
4,56,Prec_12_ore,Precipitazione 12 ore,,mm,2026-06-21 16:15:00,0.0,46.198832,12.611949,Andreis
4,57,Prec_24_ore,Precipitazione 24 ore,,mm,2026-06-21 16:15:00,1.0,46.198832,12.611949,Andreis
4,58,Prec_48_ore,Precipitazione 48 ore,,mm,2026-06-21 16:15:00,5.2,46.198832,12.611949,Andreis
4,144,T-5,Temperatura -5,,°C,2026-06-21 16:15:00,28.0,46.198832,12.611949,Andreis
4,21,T-10,Temperatura -10,,°C,2026-06-21 16:15:00,27.4,46.198832,12.611949,Andreis
4,145,T-20,Temperatura -20,,°C,2026-06-21 16:15:00,24.9,46.198832,12.611949,Andreis
4,146,T-30,Temperatura -30,,°C,2026-06-21 16:15:00,23.1,46.198832,12.611949,Andreis
