station_id,station_name,variable,value,dt,lat,lon,gestore,source
ADRIATIC::MH_dpcn-marche_Acqualagna,Acqualagna,PREC,0.0,2026-06-21 16:00:00+00:00,43.62819,12.68448,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Agugliano,Agugliano,PREC,0.0,2026-06-21 16:00:00+00:00,43.5433,13.3806,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Amandola,Amandola,PREC,0.0,2026-06-21 16:00:00+00:00,42.97638,13.35133,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Ancona_Regione,Ancona Regione,PREC,0.0,2026-06-21 16:00:00+00:00,43.6103,13.5083,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Ancona_Torrette,Ancona Torrette,PREC,0.0,2026-06-21 16:00:00+00:00,43.61095,13.4498,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Appignano,Appignano,PREC,0.0,2026-06-21 16:00:00+00:00,43.3642,13.3431,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Arcevia,Arcevia,PREC,0.0,2026-06-21 16:00:00+00:00,43.4975,12.9367,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Arquata_del_Tronto,Arquata del Tronto,PREC,0.0,2026-06-21 16:00:00+00:00,42.77782,13.29545,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Arzilla,Arzilla,PREC,0.0,2026-06-21 16:00:00+00:00,43.84,12.8947,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Baraccola,Baraccola,PREC,0.0,2026-06-21 16:00:00+00:00,43.57445,13.52388,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Barbara,Barbara,PREC,0.0,2026-06-21 16:00:00+00:00,43.58027,13.02907,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Biscubio,Biscubio,PREC,0.0,2026-06-21 16:00:00+00:00,43.56204,12.4304,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Bronzo,Bronzo,PREC,0.0,2026-06-21 16:00:00+00:00,43.80855,12.51255,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Cagli_Civita,Cagli Civita,PREC,0.0,2026-06-21 16:00:00+00:00,43.5468,12.64387,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Camerino,Camerino,PREC,0.0,2026-06-21 16:00:00+00:00,43.1461,13.0661,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Campodiegoli,Campodiegoli,PREC,0.0,2026-06-21 16:00:00+00:00,43.3103,12.8242,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Camponocecchio,Camponocecchio,PREC,0.0,2026-06-21 16:00:00+00:00,43.40635,12.98029,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Cantiano,Cantiano,PREC,0.0,2026-06-21 16:00:00+00:00,43.46707,12.64052,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Capodacqua,Capodacqua,PREC,0.0,2026-06-21 16:00:00+00:00,42.73848,13.23818,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Carassai,Carassai,PREC,0.0,2026-06-21 15:45:00+00:00,43.02597,13.64595,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Carpegna,Carpegna,PREC,0.0,2026-06-21 16:00:00+00:00,43.78058,12.34062,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Casteldelci,Casteldelci,PREC,0.0,2026-06-21 16:10:00+00:00,43.79056,12.13194,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Cesane_Foresta,Cesane Foresta,PREC,0.0,2026-06-21 16:00:00+00:00,43.6926,12.7675,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Cesano,Cesano,PREC,0.0,2026-06-21 16:00:00+00:00,43.6649,13.01444,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Chienti_2,Chienti 2,PREC,0.0,2026-06-21 16:00:00+00:00,43.2608,13.59,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Cingoli,Cingoli,PREC,0.0,2026-06-21 16:00:00+00:00,43.36223,13.19233,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Colle,Colle,PREC,0.0,2026-06-21 16:00:00+00:00,43.5347,13.0564,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Colleponi,Colleponi,PREC,0.0,2026-06-21 16:00:00+00:00,43.43372,12.90434,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Conca_1,Conca 1,PREC,0.0,2026-06-21 16:00:00+00:00,43.8711,12.4956,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Conca_2,Conca 2,PREC,0.0,2026-06-21 16:00:00+00:00,43.8839,12.5289,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Corinaldo,Corinaldo,PREC,0.0,2026-06-21 16:00:00+00:00,43.6605,13.04638,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Cupramontana,Cupramontana,PREC,0.0,2026-06-21 16:00:00+00:00,43.44538,13.11565,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Endesa,Endesa,PREC,0.0,2026-06-21 16:00:00+00:00,42.92618,13.09863,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Esanatoglia2,Esanatoglia2,PREC,0.0,2026-06-21 16:00:00+00:00,43.25313,12.94332,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Fabriano_Centro,Fabriano Centro,PREC,0.0,2026-06-21 16:00:00+00:00,43.33027,12.90403,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Fermo,Fermo,PREC,0.0,2026-06-21 16:00:00+00:00,43.1575,13.7144,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Fiastra_Tribbio,Fiastra Tribbio,PREC,0.0,2026-06-21 16:00:00+00:00,43.0347,13.156,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Filottrano,Filottrano,PREC,0.0,2026-06-21 16:00:00+00:00,43.4358,13.3511,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Fiumesino,Fiumesino,PREC,0.0,2026-06-21 16:00:00+00:00,43.62947,13.37233,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Foce_Cesano,Foce Cesano,PREC,0.0,2026-06-21 16:00:00+00:00,43.74958,13.17091,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Foce_Chienti,Foce Chienti,PREC,0.0,2026-06-21 16:00:00+00:00,43.2972,13.72883,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Foce_Metauro,Foce Metauro,PREC,0.0,2026-06-21 16:00:00+00:00,43.82704,13.05262,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Foce_Tesino,Foce Tesino,PREC,0.0,2026-06-21 16:00:00+00:00,42.97552,13.86875,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Foglia_1,Foglia 1,PREC,0.0,2026-06-21 16:00:00+00:00,43.79423,12.6188,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Foglia_2,Foglia 2,PREC,0.0,2026-06-21 16:00:00+00:00,43.85179,12.7868,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Foglia_3,Foglia 3,PREC,0.0,2026-06-21 16:00:00+00:00,43.90758,12.89751,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Fonte_Avellana,Fonte Avellana,PREC,0.0,2026-06-21 16:00:00+00:00,43.4711,12.7264,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Force,Force,PREC,0.0,2026-06-21 16:00:00+00:00,42.9628,13.4897,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Fossombrone,Fossombrone,PREC,0.0,2026-06-21 16:00:00+00:00,43.68252,12.7984,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Frontino,Frontino,PREC,0.0,2026-06-21 16:00:00+00:00,43.75863,12.357,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Gallo,Gallo,PREC,0.0,2026-06-21 16:00:00+00:00,43.78148,12.70724,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Grottazzolina,Grottazzolina,PREC,0.0,2026-06-21 16:00:00+00:00,43.1061,13.5986,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Gualdo,Gualdo,PREC,0.0,2026-06-21 16:00:00+00:00,42.88622,13.16578,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Illice,Illice,PREC,0.0,2026-06-21 15:45:00+00:00,42.90522,13.40683,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Jesi,Jesi,PREC,0.0,2026-06-21 16:00:00+00:00,43.5319,13.23,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Loreto,Loreto,PREC,0.0,2026-06-21 16:00:00+00:00,43.43578,13.61955,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Loro_Piceno,Loro Piceno,PREC,0.0,2026-06-21 16:00:00+00:00,43.16,13.4036,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Macerata_Montalbano,Macerata Montalbano,PREC,0.0,2026-06-21 16:00:00+00:00,43.29223,13.4187,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Marina_di_Montemarciano,Marina di Montemarciano,PREC,0.0,2026-06-21 16:00:00+00:00,43.6463,13.34047,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Metauro,Metauro,PREC,0.0,2026-06-21 16:00:00+00:00,43.76256,12.96747,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Misa,Misa,PREC,0.0,2026-06-21 16:00:00+00:00,43.66254,13.16497,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Moie,Moie,PREC,0.0,2026-06-21 16:00:00+00:00,43.49617,13.12579,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Monte_Bove_Sud,Monte Bove Sud,PREC,0.0,2026-06-21 16:00:00+00:00,42.9119,13.1892,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Monte_Carpegna,Monte Carpegna,PREC,0.0,2026-06-21 15:45:00+00:00,43.80088,12.32015,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Monte_Nerone,Monte Nerone,PREC,0.0,2026-06-21 16:00:00+00:00,43.55328,12.52087,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Monte_Paganuccio,Monte Paganuccio,PREC,0.0,2026-06-21 16:00:00+00:00,43.6281,12.75872,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Monte_Petrano,Monte Petrano,PREC,0.0,2026-06-21 16:00:00+00:00,43.5153,12.62183,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Monte_Prata,Monte Prata,PREC,0.0,2026-06-21 16:00:00+00:00,42.8736,13.205,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Montecavallo,Montecavallo,PREC,0.0,2026-06-21 16:00:00+00:00,42.98368,12.99405,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Montefano,Montefano,PREC,0.0,2026-06-21 16:00:00+00:00,43.4094,13.4369,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Montemonaco,Montemonaco,PREC,0.0,2026-06-21 16:00:00+00:00,42.8997,13.3253,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Mozzano,Mozzano,PREC,0.0,2026-06-21 16:00:00+00:00,42.84965,13.53753,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Musone,Musone,PREC,0.0,2026-06-21 15:45:00+00:00,43.4756,13.38844,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Osimo_Monteragolo,Osimo Monteragolo,PREC,0.0,2026-06-21 16:00:00+00:00,43.49232,13.50175,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Passatempo,Passatempo,PREC,0.0,2026-06-21 16:00:00+00:00,43.44728,13.4492,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Pergola,Pergola,PREC,0.0,2026-06-21 16:00:00+00:00,43.56863,12.84411,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Piagge,Piagge,PREC,0.0,2026-06-21 16:00:00+00:00,43.7375,12.96922,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Pian_di_Pieca,Pian di Pieca,PREC,0.0,2026-06-21 16:00:00+00:00,43.08003,13.28157,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Pianello_di_Cagli,Pianello di Cagli,PREC,0.0,2026-06-21 15:45:00+00:00,43.51215,12.55335,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Pievebovigliana,Pievebovigliana,PREC,0.0,2026-06-21 16:00:00+00:00,43.07257,13.0869,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Pintura_di_Bolognola,Pintura di Bolognola,PREC,0.0,2026-06-21 16:00:00+00:00,42.9911,13.2392,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Piobbico,Piobbico,PREC,0.0,2026-06-21 16:00:00+00:00,43.58673,12.5152,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Pioraco_2,Pioraco 2,PREC,0.0,2026-06-21 16:00:00+00:00,43.18112,12.97333,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Piscina_Acquasanta_Terme,Piscina Acquasanta Terme,PREC,0.0,2026-06-21 16:00:00+00:00,42.76832,13.40897,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Poggio_San_Vicino,Poggio San Vicino,PREC,0.0,2026-06-21 16:00:00+00:00,43.36842,13.07953,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Porto_S.Elpidio,Porto S.Elpidio,PREC,0.0,2026-06-21 16:00:00+00:00,43.23261,13.77223,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Potenza_1,Potenza 1,PREC,0.0,2026-06-21 16:00:00+00:00,43.22954,13.18845,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Recanati,Recanati,PREC,0.0,2026-06-21 16:00:00+00:00,43.3836,13.5933,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Ripatransone,Ripatransone,PREC,0.0,2026-06-21 16:00:00+00:00,42.99213,13.785,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Rostighello,Rostighello,PREC,0.0,2026-06-21 16:00:00+00:00,43.43805,13.53805,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_Rotella,Rotella,PREC,0.0,2026-06-21 16:00:00+00:00,42.9542,13.5686,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_San_Benedetto,San Benedetto,PREC,0.0,2026-06-21 16:00:00+00:00,42.9333,13.8892,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_San_Giovanni,San Giovanni,PREC,0.0,2026-06-21 16:00:00+00:00,43.3886,13.0417,MeteoHub_dpcn-marche,ADRIATIC
ADRIATIC::MH_dpcn-marche_San_Lorenzo_in_Campo,San Lorenzo in Campo,PREC,0.0,2026-06-21 16:00:00+00:00,43.605,12.95333,MeteoHub_dpcn-marche,ADRIATIC
