station_id,n_obs,missing_pct,flagged_missing,n_phys_outliers,n_jumps,flagged_jumps,flagged_any
HADISD_129250-99999,2411,16.284722222222225,False,0,0,False,False
HADISD_129300-99999,2079,27.812499999999996,False,0,0,False,False
HADISD_129420-99999,2200,23.611111111111114,False,0,0,False,False
HADISD_129600-99999,2195,23.78472222222222,False,0,0,False,False
HADISD_130145-99999,32,98.88888888888889,True,0,0,False,True
HADISD_130260-99999,6466,0.0,False,0,0,False,False
HADISD_130670-99999,2932,0.0,False,0,0,False,False
HADISD_131160-99999,2687,6.701388888888893,False,0,0,False,False
HADISD_131500-99999,6936,0.0,False,0,0,False,False
HADISD_131600-99999,2985,0.0,False,0,0,False,False
HADISD_131680-99999,2975,0.0,False,0,0,False,False
HADISD_132280-99999,3183,0.0,False,0,1,True,True
HADISD_132620-99999,3007,0.0,False,0,0,False,False
HADISD_132660-99999,2986,0.0,False,0,0,False,False
HADISD_132690-99999,2944,0.0,False,0,0,False,False
HADISD_133630-99999,4642,0.0,False,4642,0,False,False
HADISD_133670-99999,2851,1.0069444444444464,False,2851,0,False,False
HADISD_133690-99999,2986,0.0,False,2986,0,False,False
HADISD_134520-99999,2782,3.402777777777777,False,0,0,False,False
HADISD_134570-99999,6494,0.0,False,0,4,True,True
HADISD_134590-99999,6853,0.0,False,6298,0,False,False
HADISD_134610-99999,5583,0.0,False,0,0,False,False
HADISD_134620-99999,6418,0.0,False,0,9,True,True
HADISD_134624-99999,14,99.51388888888889,True,0,0,False,True
HADISD_136000-99999,2768,3.888888888888886,False,0,0,False,False
HADISD_136110-99999,2776,3.6111111111111094,False,0,0,False,False
HADISD_136220-99999,2595,9.895833333333337,False,0,0,False,False
HADISD_136240-99999,2772,3.749999999999998,False,0,0,False,False
HADISD_140080-99999,8286,0.0,False,8286,0,False,False
HADISD_140140-99999,8265,0.0,False,39,0,False,False
HADISD_140150-99999,8234,0.0,False,0,0,False,False
HADISD_140230-99999,8179,0.0,False,0,0,False,False
HADISD_140240-99999,8280,0.0,False,8280,0,False,False
HADISD_141050-99999,8139,0.0,False,0,0,False,False
HADISD_141060-99999,8273,0.0,False,0,0,False,False
HADISD_141210-99999,8276,0.0,False,0,0,False,False
HADISD_142160-99999,6908,0.0,False,0,0,False,False
HADISD_142190-99999,6912,0.0,False,6912,0,False,False
HADISD_142320-99999,6945,0.0,False,0,0,False,False
HADISD_142340-99999,6937,0.0,False,0,0,False,False
HADISD_142350-99999,6941,0.0,False,6941,0,False,False
HADISD_142360-99999,3831,0.0,False,0,0,False,False
HADISD_142400-99999,6967,0.0,False,0,0,False,False
HADISD_142410-99999,2783,3.3680555555555602,False,0,0,False,False
HADISD_142440-99999,6944,0.0,False,0,0,False,False
HADISD_142460-99999,6948,0.0,False,0,0,False,False
HADISD_142480-99999,6712,0.0,False,0,0,False,False
HADISD_142530-99999,6916,0.0,False,0,0,False,False
HADISD_142560-99999,6957,0.0,False,0,0,False,False
HADISD_142580-99999,6925,0.0,False,0,0,False,False
HADISD_142800-99999,6943,0.0,False,0,0,False,False
HADISD_142840-99999,2681,6.909722222222225,False,0,0,False,False
HADISD_143070-99999,2782,3.402777777777777,False,0,0,False,False
HADISD_143080-99999,6923,0.0,False,0,0,False,False
HADISD_143140-99999,5673,0.0,False,0,0,False,False
HADISD_143210-99999,6932,0.0,False,0,0,False,False
HADISD_143230-99999,6461,0.0,False,0,0,False,False
HADISD_143240-99999,5755,0.0,False,5755,0,False,False
HADISD_143280-99999,6917,0.0,False,2,0,False,False
HADISD_143300-99999,6923,0.0,False,3089,0,False,False
HADISD_143820-99999,6945,0.0,False,0,0,False,False
HADISD_144280-99999,6713,0.0,False,0,0,False,False
HADISD_144310-99999,2784,3.3333333333333326,False,0,0,False,False
HADISD_144380-99999,6815,0.0,False,0,0,False,False
HADISD_144410-99999,1860,35.416666666666664,True,0,0,False,True
HADISD_144420-99999,6832,0.0,False,0,0,False,False
HADISD_144430-99999,2247,21.97916666666667,False,0,0,False,False
HADISD_144440-99999,2784,3.3333333333333326,False,0,0,False,False
HADISD_144450-99999,6954,0.0,False,0,0,False,False
HADISD_144470-99999,6881,0.0,False,0,0,False,False
HADISD_144520-99999,3764,0.0,False,0,0,False,False
HADISD_144540-99999,3824,0.0,False,0,0,False,False
HADISD_144620-99999,6918,0.0,False,0,0,False,False
HADISD_144720-99999,6927,0.0,False,0,0,False,False
HADISD_145370-99999,3119,0.0,False,0,0,False,False
HADISD_145420-99999,7008,0.0,False,0,0,False,False
HADISD_145440-99999,3087,0.0,False,1136,0,False,False
HADISD_145490-99999,8038,0.0,False,0,0,False,False
HADISD_145540-99999,3118,0.0,False,2,2,True,True
HADISD_145570-99999,7550,0.0,False,0,0,False,False
HADISD_146400-99999,3198,0.0,False,3193,0,False,False
HADISD_146480-99999,5372,0.0,False,0,1,True,True
HADISD_146500-99999,2246,22.01388888888889,False,2245,1,True,True
HADISD_146520-99999,5114,0.0,False,5114,0,False,False
HADISD_146540-99999,8187,0.0,False,6878,0,False,False
HADISD_160360-99999,4999,0.0,False,0,0,False,False
HADISD_160400-99999,1489,48.298611111111114,True,1489,0,False,True
HADISD_160450-99999,8270,0.0,False,0,0,False,False
HADISD_160980-99999,8340,0.0,False,0,0,False,False
HADISD_160990-99999,2756,4.305555555555552,False,0,0,False,False
HADISD_161050-99999,2741,4.826388888888888,False,0,0,False,False
HADISD_161080-99999,2742,4.791666666666671,False,0,0,False,False
HADISD_161100-99999,7163,0.0,False,0,1,True,True
HADISD_161460-99999,3932,0.0,False,0,0,False,False
HADISD_161480-99999,8195,0.0,False,0,0,False,False
HADISD_161490-99999,2760,4.1666666666666625,False,0,0,False,False
HADISD_161790-99999,8352,0.0,False,4872,0,False,False
HADISD_161910-99999,2752,4.444444444444439,False,0,0,False,False
HADISD_162160-99999,4782,0.0,False,0,0,False,False
