code,name,lat,lon,elevation
129250-99999,,46.45,16.967,141.0
129300-99999,,46.383,17.833,145.0
129420-99999,,45.991,18.241,304.8
129600-99999,,46.183,19.017,113.0
130145-99999,,45.9,15.53,155.4
130260-99999,,46.483,15.683,265.0
130670-99999,,46.1,19.767,105.0
131050-99999,,45.483,13.617,3.0
131160-99999,,45.217,14.57,84.7
131500-99999,,45.167,18.0,88.0
131600-99999,,45.767,19.15,89.0
131680-99999,,45.333,19.85,87.0
132240-99999,,44.083,15.35,82.0
132280-99999,,44.817,15.883,250.0
132420-99999,,44.941,17.298,121.9
132620-99999,,44.55,19.233,122.0
132660-99999,,45.1,19.55,83.0
132690-99999,,44.317,19.917,177.0
133330-99999,,43.533,16.3,24.0
133480-99999,,43.283,17.846,47.5
133530-99999,,43.825,18.331,520.6
133630-99999,,43.35,19.35,788.0
133670-99999,,43.733,19.717,1029.0
133690-99999,,43.283,20.0,1039.0
134520-99999,,42.567,18.267,161.0
134570-99999,,42.405,18.723,6.1
134590-99999,,42.767,18.95,647.0
134610-99999,,42.1,19.1,6.0
134620-99999,,42.367,19.25,33.0
134624-99999,,42.433,19.283,53.0
135620-99999,,41.917,19.217,29.0
136000-99999,,42.1,19.533,43.0
136110-99999,,41.3,19.45,12.0
136150-99999,,41.415,19.721,38.4
136220-99999,,40.467,19.483,5.0
136240-99999,,40.8,19.9,33.0
140080-99999,,46.383,13.85,2515.0
140140-99999,,46.224,14.458,388.0
140150-99999,,46.067,14.517,298.0
140230-99999,,46.233,15.233,243.6
140240-99999,,46.067,15.283,941.0
141050-99999,,45.473,13.615,2.1
141060-99999,,45.9,13.633,56.1
141210-99999,,45.8,15.183,220.0
142160-99999,,45.333,14.45,125.0
142190-99999,,45.6,14.633,863.0
142320-99999,,45.5,15.567,111.0
142340-99999,,46.133,15.883,203.1
142350-99999,,45.917,15.967,988.0
142360-99999,,45.8,15.967,157.0
142400-99999,,45.817,16.033,128.0
142410-99999,,45.743,16.069,107.6
142440-99999,,45.5,16.367,106.0
142460-99999,,46.295,16.381,167.0
142480-99999,,46.033,16.55,146.0
142530-99999,,45.917,16.867,142.4
142560-99999,,45.883,17.2,263.0
142580-99999,,45.6,17.233,161.0
142800-99999,,45.5,18.567,89.3
142840-99999,,45.463,18.81,88.4
143070-99999,,44.894,13.922,83.5
143080-99999,,45.233,13.933,293.0
143140-99999,,44.533,14.483,53.0
143210-99999,,44.75,14.767,19.9
143230-99999,,45.0,14.9,28.0
143240-99999,,44.817,14.983,1597.0
143280-99999,,45.267,15.233,328.0
143300-99999,,44.55,15.367,565.0
