station_id,sensor_name,lat,lon,codseqst,point,quota,gestore,provincia,TARIA2M_value,TARIA2M_dt,PRESS_value,PRESS_dt,VV_value,VV_dt,PREC_value,PREC_dt
MH_dpcn-marche_Ancona_Regione,Ancona Regione,43.6103,13.5083,Ancona Regione,"{""type"": ""Point"", ""coordinates"": [13.5083, 43.6103]}",47.0,MeteoHub_dpcn-marche,,28.5,2026-06-21 16:00:00+00:00,1011.0,2026-06-21 16:00:00+00:00,1.6,2026-06-21 16:00:00+00:00,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Sassotetto,Sassotetto,43.0067,13.2417,Sassotetto,"{""type"": ""Point"", ""coordinates"": [13.2417, 43.0067]}",1344.0,MeteoHub_dpcn-marche,,20.6,2026-06-21 16:00:00+00:00,876.0,2026-06-21 16:00:00+00:00,0.7,2026-06-21 16:00:00+00:00,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Mozzano,Mozzano,42.84965,13.53753,Mozzano,"{""type"": ""Point"", ""coordinates"": [13.53753, 42.84965]}",-1.0,MeteoHub_dpcn-marche,,31.1,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Sibilla,Sibilla,42.895,13.27,Sibilla,"{""type"": ""Point"", ""coordinates"": [13.27, 42.895]}",1676.0,MeteoHub_dpcn-marche,,18.5,2026-06-21 16:00:00+00:00,838.0,2026-06-21 16:00:00+00:00,1.9,2026-06-21 16:00:00+00:00,,
MH_dpcn-marche_Monte_Nerone,Monte Nerone,43.55328,12.52087,Monte Nerone,"{""type"": ""Point"", ""coordinates"": [12.52087, 43.55328]}",0.0,MeteoHub_dpcn-marche,,20.8,2026-06-21 16:00:00+00:00,,,3.0,2026-06-21 16:00:00+00:00,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Pennabilli,Pennabilli,43.81972,12.27417,Pennabilli,"{""type"": ""Point"", ""coordinates"": [12.27417, 43.81972]}",589.0,MeteoHub_dpcn-marche,,26.7,2026-06-21 16:00:00+00:00,950.5,2026-06-21 16:00:00+00:00,1.6,2026-06-21 16:00:00+00:00,,
MH_dpcn-marche_Urbino,Urbino,43.7233,12.6369,Urbino,"{""type"": ""Point"", ""coordinates"": [12.6369, 43.7233]}",384.0,MeteoHub_dpcn-marche,,28.7,2026-06-21 16:00:00+00:00,966.0,2026-06-21 16:00:00+00:00,0.7,2026-06-21 16:00:00+00:00,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Camerino,Camerino,43.1461,13.0661,Camerino,"{""type"": ""Point"", ""coordinates"": [13.0661, 43.1461]}",510.0,MeteoHub_dpcn-marche,,28.6,2026-06-21 16:00:00+00:00,959.0,2026-06-21 16:00:00+00:00,1.8,2026-06-21 16:00:00+00:00,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_San_Benedetto,San Benedetto,42.9333,13.8892,San Benedetto,"{""type"": ""Point"", ""coordinates"": [13.8892, 42.9333]}",1.0,MeteoHub_dpcn-marche,,28.2,2026-06-21 16:00:00+00:00,1021.0,2026-06-21 16:00:00+00:00,1.3,2026-06-21 16:00:00+00:00,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Grottazzolina,Grottazzolina,43.1061,13.5986,Grottazzolina,"{""type"": ""Point"", ""coordinates"": [13.5986, 43.1061]}",195.0,MeteoHub_dpcn-marche,,29.6,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Ussita,Ussita,42.9436,13.1425,Ussita,"{""type"": ""Point"", ""coordinates"": [13.1425, 42.9436]}",796.0,MeteoHub_dpcn-marche,,28.3,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Pintura_di_Bolognola,Pintura di Bolognola,42.9911,13.2392,Pintura di Bolognola,"{""type"": ""Point"", ""coordinates"": [13.2392, 42.9911]}",1330.0,MeteoHub_dpcn-marche,,21.9,2026-06-21 16:00:00+00:00,876.0,2026-06-21 16:00:00+00:00,3.9,2026-06-21 16:00:00+00:00,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Montefano,Montefano,43.4094,13.4369,Montefano,"{""type"": ""Point"", ""coordinates"": [13.4369, 43.4094]}",202.0,MeteoHub_dpcn-marche,,30.9,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
MH_dpcn-marche_Serralta,Serralta,43.3158,13.1886,Serralta,"{""type"": ""Point"", ""coordinates"": [13.1886, 43.3158]}",491.0,MeteoHub_dpcn-marche,,28.5,2026-06-21 16:00:00+00:00,,,,,0.0,2026-06-21 16:00:00+00:00
