file,attribute,value
MO_TS_MO_6101628_20250820.nc,platform_code,6101628
MO_TS_MO_6101628_20250820.nc,platform_name,ZARJA
MO_TS_MO_6101628_20250820.nc,ices_platform_code, 
MO_TS_MO_6101628_20250820.nc,institution_edmo_code,1755
MO_TS_MO_6101628_20250820.nc,wmo_platform_code,6101628
MO_TS_MO_6101628_20250820.nc,source,moored surface buoy
MO_TS_MO_6101628_20250820.nc,source_platform_category_code,41
MO_TS_MO_6101628_20250820.nc,history,2025-08-21T03:33:10Z : Creation
MO_TS_MO_6101628_20250820.nc,data_mode,R
MO_TS_MO_6101628_20250820.nc,comment, 
MO_TS_MO_6101628_20250820.nc,summary, 
MO_TS_MO_6101628_20250820.nc,id,MO_TS_MO_6101628_20250820
MO_TS_MO_6101628_20250820.nc,area,Mediterranean Sea
MO_TS_MO_6101628_20250820.nc,geospatial_lat_min,45.6033
MO_TS_MO_6101628_20250820.nc,geospatial_lat_max,45.6033
MO_TS_MO_6101628_20250820.nc,geospatial_lon_min,13.6717
MO_TS_MO_6101628_20250820.nc,geospatial_lon_max,13.6717
MO_TS_MO_6101628_20250820.nc,geospatial_vertical_min,0.0
MO_TS_MO_6101628_20250820.nc,geospatial_vertical_max,21.0
MO_TS_MO_6101628_20250820.nc,time_coverage_start,2025-08-20T00:00:00Z
MO_TS_MO_6101628_20250820.nc,time_coverage_end,2025-08-20T23:00:00Z
MO_TS_MO_6101628_20250820.nc,institution_references,http://www.arso.gov.si/en/
MO_TS_MO_6101628_20250820.nc,doi,https://doi.org/10.48670/moi-00044 https://doi.org/10.13155/59938 https://doi.org/10.13155/40846 https://doi.org/10.13155/53381 https://doi.org/10.13155/36230 https://doi.org/10.13155/43494
MO_TS_MO_6101628_20250820.nc,bottom_depth, 
MO_TS_MO_6101628_20250820.nc,title,Med Sea - NRT in situ Observations
MO_TS_MO_6101628_20250820.nc,format_version,2.0
MO_TS_MO_6101628_20250820.nc,netcdf_version,netCDF-4 classic model
MO_TS_MO_6101628_20250820.nc,cdm_data_type,timeSeries
MO_TS_MO_6101628_20250820.nc,Conventions,CF-1.11 Copernicus-InSituTAC-FormatManual-2.0.0 Copernicus-InSituTAC-ParametersList-3.3.0 Copernicus-InSituTAC-AttributesList-1.0.0
MO_TS_MO_6101628_20250820.nc,naming_authority,Copernicus Marine In Situ
MO_TS_MO_6101628_20250820.nc,update_interval,P1M
MO_TS_MO_6101628_20250820.nc,references,http://marine.copernicus.eu http://www.marineinsitu.eu
MO_TS_MO_6101628_20250820.nc,citation,These data were collated within the Copernicus Marine Service (In Situ) and EMODnet collaboration framework. Data is made freely available by the Copernicus Marine Service and the programs that contribute to it.
MO_TS_MO_6101628_20250820.nc,last_latitude_observation,45.6033
MO_TS_MO_6101628_20250820.nc,last_longitude_observation,13.6717
MO_TS_MO_6101628_20250820.nc,last_date_observation,2025-08-20T23:00:00Z
MO_TS_MO_6101628_20250820.nc,site_code,
MO_TS_MO_6101628_20250820.nc,institution,Environmental Agency of the Republic of Slovenia
MO_TS_MO_6101628_20250820.nc,license,https://marine.copernicus.eu/user-corner/service-commitments-and-licence
MO_TS_MO_6101628_20250820.nc,institution_abbreviated,ARSO
MO_TS_MO_6101628_20250820.nc,institution_country,Slovenia
MO_TS_MO_6101628_20250820.nc,featureType,timeSeries
MO_TS_MO_6101628_20250820.nc,publisher_email,cmems-service@hcmr.gr
MO_TS_MO_6101628_20250820.nc,publisher_name,Copernicus Marine Service
MO_TS_MO_6101628_20250820.nc,publisher_url,https://marine.copernicus.eu/ https://www.marineinsitu.eu/
MO_TS_MO_6101628_20250820.nc,publisher_institution,HCMR
MO_TS_MO_6101628_20250820.nc,date_modified,2025-08-21T09:40:03Z
MO_TS_MO_6101629_20250820.nc,platform_code,6101629
MO_TS_MO_6101629_20250820.nc,platform_name,ZORA
MO_TS_MO_6101629_20250820.nc,ices_platform_code, 
MO_TS_MO_6101629_20250820.nc,institution_edmo_code,1755
MO_TS_MO_6101629_20250820.nc,wmo_platform_code,6101629
MO_TS_MO_6101629_20250820.nc,source,moored surface buoy
MO_TS_MO_6101629_20250820.nc,source_platform_category_code,41
MO_TS_MO_6101629_20250820.nc,history,2025-08-21T03:32:32Z : Creation
MO_TS_MO_6101629_20250820.nc,data_mode,R
MO_TS_MO_6101629_20250820.nc,comment, 
MO_TS_MO_6101629_20250820.nc,summary, 
MO_TS_MO_6101629_20250820.nc,id,MO_TS_MO_6101629_20250820
MO_TS_MO_6101629_20250820.nc,area,Mediterranean Sea
MO_TS_MO_6101629_20250820.nc,geospatial_lat_min,45.6016
MO_TS_MO_6101629_20250820.nc,geospatial_lat_max,45.6016
MO_TS_MO_6101629_20250820.nc,geospatial_lon_min,13.5354
MO_TS_MO_6101629_20250820.nc,geospatial_lon_max,13.5354
MO_TS_MO_6101629_20250820.nc,geospatial_vertical_min,0.0
MO_TS_MO_6101629_20250820.nc,geospatial_vertical_max,21.0
MO_TS_MO_6101629_20250820.nc,time_coverage_start,2025-08-20T00:00:00Z
MO_TS_MO_6101629_20250820.nc,time_coverage_end,2025-08-20T23:00:00Z
MO_TS_MO_6101629_20250820.nc,institution_references,http://www.arso.gov.si/en/
MO_TS_MO_6101629_20250820.nc,doi,https://doi.org/10.48670/moi-00044 https://doi.org/10.13155/59938 https://doi.org/10.13155/40846 https://doi.org/10.13155/53381 https://doi.org/10.13155/36230 https://doi.org/10.13155/43494
MO_TS_MO_6101629_20250820.nc,bottom_depth, 
MO_TS_MO_6101629_20250820.nc,title,Med Sea - NRT in situ Observations
MO_TS_MO_6101629_20250820.nc,format_version,2.0
MO_TS_MO_6101629_20250820.nc,netcdf_version,netCDF-4 classic model
MO_TS_MO_6101629_20250820.nc,cdm_data_type,timeSeries
MO_TS_MO_6101629_20250820.nc,Conventions,CF-1.11 Copernicus-InSituTAC-FormatManual-2.0.0 Copernicus-InSituTAC-ParametersList-3.3.0 Copernicus-InSituTAC-AttributesList-1.0.0
MO_TS_MO_6101629_20250820.nc,naming_authority,Copernicus Marine In Situ
MO_TS_MO_6101629_20250820.nc,update_interval,P1M
MO_TS_MO_6101629_20250820.nc,references,http://marine.copernicus.eu http://www.marineinsitu.eu
MO_TS_MO_6101629_20250820.nc,citation,These data were collated within the Copernicus Marine Service (In Situ) and EMODnet collaboration framework. Data is made freely available by the Copernicus Marine Service and the programs that contribute to it.
MO_TS_MO_6101629_20250820.nc,last_latitude_observation,45.6016
MO_TS_MO_6101629_20250820.nc,last_longitude_observation,13.5354
MO_TS_MO_6101629_20250820.nc,last_date_observation,2025-08-20T23:00:00Z
MO_TS_MO_6101629_20250820.nc,site_code,
MO_TS_MO_6101629_20250820.nc,institution,Environmental Agency of the Republic of Slovenia
MO_TS_MO_6101629_20250820.nc,license,https://marine.copernicus.eu/user-corner/service-commitments-and-licence
MO_TS_MO_6101629_20250820.nc,institution_abbreviated,ARSO
MO_TS_MO_6101629_20250820.nc,institution_country,Slovenia
MO_TS_MO_6101629_20250820.nc,featureType,timeSeries
MO_TS_MO_6101629_20250820.nc,publisher_email,cmems-service@hcmr.gr
MO_TS_MO_6101629_20250820.nc,publisher_name,Copernicus Marine Service
MO_TS_MO_6101629_20250820.nc,publisher_url,https://marine.copernicus.eu/ https://www.marineinsitu.eu/
MO_TS_MO_6101629_20250820.nc,publisher_institution,HCMR
MO_TS_MO_6101629_20250820.nc,date_modified,2025-08-21T09:40:05Z
MO_TS_MO_VIDA_20250820.nc,platform_code,VIDA
MO_TS_MO_VIDA_20250820.nc,wmo_platform_code,6101630
MO_TS_MO_VIDA_20250820.nc,institution_edmo_code,1229
MO_TS_MO_VIDA_20250820.nc,source,moored surface buoy
MO_TS_MO_VIDA_20250820.nc,source_platform_category_code,41
MO_TS_MO_VIDA_20250820.nc,history,2025-08-21T02:24:54Z : Creation
MO_TS_MO_VIDA_20250820.nc,data_mode,R
MO_TS_MO_VIDA_20250820.nc,comment, 
MO_TS_MO_VIDA_20250820.nc,summary, 
MO_TS_MO_VIDA_20250820.nc,id,MO_TS_MO_VIDA_20250820
MO_TS_MO_VIDA_20250820.nc,area,Mediterranean Sea
MO_TS_MO_VIDA_20250820.nc,geospatial_lat_min,45.5488
MO_TS_MO_VIDA_20250820.nc,geospatial_lat_max,45.5488
MO_TS_MO_VIDA_20250820.nc,geospatial_lon_min,13.550525
MO_TS_MO_VIDA_20250820.nc,geospatial_lon_max,13.550525
MO_TS_MO_VIDA_20250820.nc,geospatial_vertical_min,-5.0
MO_TS_MO_VIDA_20250820.nc,geospatial_vertical_max,20.0
MO_TS_MO_VIDA_20250820.nc,time_coverage_start,2025-08-20T00:00:00Z
MO_TS_MO_VIDA_20250820.nc,time_coverage_end,2025-08-20T23:30:00Z
MO_TS_MO_VIDA_20250820.nc,institution_references,http://www.nib.si/mbp/sl/
MO_TS_MO_VIDA_20250820.nc,ices_platform_code, 
MO_TS_MO_VIDA_20250820.nc,doi,https://doi.org/10.48670/moi-00044 https://doi.org/10.13155/59938 https://doi.org/10.13155/40846 https://doi.org/10.13155/53381 https://doi.org/10.13155/36230 https://doi.org/10.13155/43494
MO_TS_MO_VIDA_20250820.nc,platform_name, 
MO_TS_MO_VIDA_20250820.nc,bottom_depth, 
MO_TS_MO_VIDA_20250820.nc,update_interval,P1M
MO_TS_MO_VIDA_20250820.nc,Conventions,CF-1.11 Copernicus-InSituTAC-FormatManual-2.0.0 Copernicus-InSituTAC-ParametersList-3.3.0 Copernicus-InSituTAC-AttributesList-1.0.0
MO_TS_MO_VIDA_20250820.nc,format_version,2.0
MO_TS_MO_VIDA_20250820.nc,citation,These data were collated within the Copernicus Marine Service (In Situ) and EMODnet collaboration framework. Data is made freely available by the Copernicus Marine Service and the programs that contribute to it.
MO_TS_MO_VIDA_20250820.nc,netcdf_version,netCDF-4 classic model
MO_TS_MO_VIDA_20250820.nc,naming_authority,Copernicus Marine In Situ
MO_TS_MO_VIDA_20250820.nc,cdm_data_type,timeSeries
MO_TS_MO_VIDA_20250820.nc,references,http://marine.copernicus.eu http://www.marineinsitu.eu
MO_TS_MO_VIDA_20250820.nc,title,Med Sea - NRT in situ Observations
MO_TS_MO_VIDA_20250820.nc,last_latitude_observation,45.5488
MO_TS_MO_VIDA_20250820.nc,last_longitude_observation,13.550525
MO_TS_MO_VIDA_20250820.nc,last_date_observation,2025-08-20T23:30:00Z
MO_TS_MO_VIDA_20250820.nc,site_code,
MO_TS_MO_VIDA_20250820.nc,institution,National Institute of Biology - Marine Biology Station
MO_TS_MO_VIDA_20250820.nc,license,https://marine.copernicus.eu/user-corner/service-commitments-and-licence
MO_TS_MO_VIDA_20250820.nc,institution_abbreviated,NIB
MO_TS_MO_VIDA_20250820.nc,institution_country,Slovenia
MO_TS_MO_VIDA_20250820.nc,featureType,timeSeries
MO_TS_MO_VIDA_20250820.nc,publisher_email,cmems-service@hcmr.gr
MO_TS_MO_VIDA_20250820.nc,publisher_name,Copernicus Marine Service
MO_TS_MO_VIDA_20250820.nc,publisher_url,https://marine.copernicus.eu/ https://www.marineinsitu.eu/
MO_TS_MO_VIDA_20250820.nc,publisher_institution,HCMR
MO_TS_MO_VIDA_20250820.nc,date_modified,2025-08-21T07:40:06Z
MO_TS_TG_KOPER_20250820.nc,platform_code,KOPER
MO_TS_TG_KOPER_20250820.nc,platform_name, 
MO_TS_TG_KOPER_20250820.nc,ices_platform_code, 
MO_TS_TG_KOPER_20250820.nc,institution_edmo_code,1755
MO_TS_TG_KOPER_20250820.nc,wmo_platform_code, 
MO_TS_TG_KOPER_20250820.nc,source,land/onshore structure
MO_TS_TG_KOPER_20250820.nc,source_platform_category_code,14
MO_TS_TG_KOPER_20250820.nc,history,2025-08-21T03:33:16Z : Creation
MO_TS_TG_KOPER_20250820.nc,data_mode,R
MO_TS_TG_KOPER_20250820.nc,comment, 
MO_TS_TG_KOPER_20250820.nc,summary, 
MO_TS_TG_KOPER_20250820.nc,id,MO_TS_TG_KOPER_20250820
MO_TS_TG_KOPER_20250820.nc,area,Mediterranean Sea
MO_TS_TG_KOPER_20250820.nc,geospatial_lat_min,45.5482
MO_TS_TG_KOPER_20250820.nc,geospatial_lat_max,45.5482
MO_TS_TG_KOPER_20250820.nc,geospatial_lon_min,13.7245
MO_TS_TG_KOPER_20250820.nc,geospatial_lon_max,13.7245
MO_TS_TG_KOPER_20250820.nc,geospatial_vertical_min,0.0
MO_TS_TG_KOPER_20250820.nc,geospatial_vertical_max,1.0
MO_TS_TG_KOPER_20250820.nc,time_coverage_start,2025-08-20T00:00:00Z
MO_TS_TG_KOPER_20250820.nc,time_coverage_end,2025-08-20T23:00:00Z
MO_TS_TG_KOPER_20250820.nc,institution_references,http://www.arso.gov.si/en/
MO_TS_TG_KOPER_20250820.nc,doi,https://doi.org/10.48670/moi-00044 https://doi.org/10.13155/59938 https://doi.org/10.13155/40846 https://doi.org/10.13155/53381 https://doi.org/10.13155/36230 https://doi.org/10.13155/43494
MO_TS_TG_KOPER_20250820.nc,bottom_depth, 
MO_TS_TG_KOPER_20250820.nc,title,Med Sea - NRT in situ Observations
MO_TS_TG_KOPER_20250820.nc,format_version,2.0
MO_TS_TG_KOPER_20250820.nc,netcdf_version,netCDF-4 classic model
MO_TS_TG_KOPER_20250820.nc,cdm_data_type,timeSeries
MO_TS_TG_KOPER_20250820.nc,Conventions,CF-1.11 Copernicus-InSituTAC-FormatManual-2.0.0 Copernicus-InSituTAC-ParametersList-3.3.0 Copernicus-InSituTAC-AttributesList-1.0.0
MO_TS_TG_KOPER_20250820.nc,naming_authority,Copernicus Marine In Situ
MO_TS_TG_KOPER_20250820.nc,update_interval,P1M
