file,variable,units,long_name,standard_name,coordinates,comment
MO_TS_MO_6101628_20250820.nc,TIME_QC,,Time quality flag,,,
MO_TS_MO_6101628_20250820.nc,HCSP,m s-1,Horizontal current speed,sea_water_speed,,
MO_TS_MO_6101628_20250820.nc,HCSP_QC,,Horizontal current speed quality flag,,,
MO_TS_MO_6101628_20250820.nc,TEMP,degrees_C,Sea temperature,sea_water_temperature,,
MO_TS_MO_6101628_20250820.nc,TEMP_QC,,Sea temperature quality flag,,,
MO_TS_MO_6101628_20250820.nc,VHM0,m,Spectral significant wave height (Hm0),sea_surface_wave_significant_height,,
MO_TS_MO_6101628_20250820.nc,VHM0_QC,,Spectral significant wave height (Hm0) quality flag,,,
MO_TS_MO_6101628_20250820.nc,VTM10,s,"Spectral moments (-1,0) wave period (Tm-10)",sea_surface_wave_mean_period_from_variance_spectral_density_inverse_frequency_moment,,
MO_TS_MO_6101628_20250820.nc,VTM10_QC,,"Spectral moments (-1,0) wave period (Tm-10) quality flag",,,
MO_TS_MO_6101628_20250820.nc,VZMX,m,Maximum zero crossing wave height (Hmax),sea_surface_wave_maximum_height,,
MO_TS_MO_6101628_20250820.nc,VZMX_QC,,Maximum zero crossing wave height (Hmax) quality flag,,,
MO_TS_MO_6101629_20250820.nc,TIME_QC,,Time quality flag,,,
MO_TS_MO_6101629_20250820.nc,HCSP,m s-1,Horizontal current speed,sea_water_speed,,
MO_TS_MO_6101629_20250820.nc,HCSP_QC,,Horizontal current speed quality flag,,,
MO_TS_MO_6101629_20250820.nc,TEMP,degrees_C,Sea temperature,sea_water_temperature,,
MO_TS_MO_6101629_20250820.nc,TEMP_QC,,Sea temperature quality flag,,,
MO_TS_MO_6101629_20250820.nc,VHM0,m,Spectral significant wave height (Hm0),sea_surface_wave_significant_height,,
MO_TS_MO_6101629_20250820.nc,VHM0_QC,,Spectral significant wave height (Hm0) quality flag,,,
MO_TS_MO_6101629_20250820.nc,VTM10,s,"Spectral moments (-1,0) wave period (Tm-10)",sea_surface_wave_mean_period_from_variance_spectral_density_inverse_frequency_moment,,
MO_TS_MO_6101629_20250820.nc,VTM10_QC,,"Spectral moments (-1,0) wave period (Tm-10) quality flag",,,
MO_TS_MO_6101629_20250820.nc,VZMX,m,Maximum zero crossing wave height (Hmax),sea_surface_wave_maximum_height,,
MO_TS_MO_6101629_20250820.nc,VZMX_QC,,Maximum zero crossing wave height (Hmax) quality flag,,,
MO_TS_MO_VIDA_20250820.nc,TIME_QC,,Time quality flag,,,
MO_TS_MO_VIDA_20250820.nc,EWCT,m s-1,West-east current component,eastward_sea_water_velocity,,
MO_TS_MO_VIDA_20250820.nc,EWCT_QC,,West-east current component quality flag,,,
MO_TS_MO_VIDA_20250820.nc,NSCT,m s-1,South-north current component,northward_sea_water_velocity,,
MO_TS_MO_VIDA_20250820.nc,NSCT_QC,,South-north current component quality flag,,,
MO_TS_MO_VIDA_20250820.nc,WSPD,m s-1,Horizontal wind speed,wind_speed,,
MO_TS_MO_VIDA_20250820.nc,WSPD_QC,,Horizontal wind speed quality flag,,,
MO_TS_MO_VIDA_20250820.nc,WDIR,degree,Wind from direction relative true north,wind_from_direction,,
MO_TS_MO_VIDA_20250820.nc,WDIR_QC,,Wind from direction relative true north quality flag,,,
MO_TS_MO_VIDA_20250820.nc,DRYT,degrees_C,Air temperature in dry bulb,air_temperature,,
MO_TS_MO_VIDA_20250820.nc,DRYT_QC,,Air temperature in dry bulb quality flag,,,
MO_TS_MO_VIDA_20250820.nc,RELH,%,Relative humidity,relative_humidity,,
MO_TS_MO_VIDA_20250820.nc,RELH_QC,,Relative humidity quality flag,,,
MO_TS_MO_VIDA_20250820.nc,TEMP,degrees_C,Sea temperature,sea_water_temperature,,
MO_TS_MO_VIDA_20250820.nc,TEMP_QC,,Sea temperature quality flag,,,
MO_TS_MO_VIDA_20250820.nc,PSAL,0.001,Practical salinity,sea_water_practical_salinity,,
MO_TS_MO_VIDA_20250820.nc,PSAL_QC,,Practical salinity quality flag,,,
MO_TS_TG_KOPER_20250820.nc,TIME_QC,,Time quality flag,,,
MO_TS_TG_KOPER_20250820.nc,ATMS,hPa,Atmospheric pressure at sea level,air_pressure_at_sea_level,,
MO_TS_TG_KOPER_20250820.nc,ATMS_QC,,Atmospheric pressure at sea level quality flag,,,
MO_TS_TG_KOPER_20250820.nc,DRYT,degrees_C,Air temperature in dry bulb,air_temperature,,
MO_TS_TG_KOPER_20250820.nc,DRYT_QC,,Air temperature in dry bulb quality flag,,,
MO_TS_TG_KOPER_20250820.nc,SLEV,m,Water surface height above a specific datum,water_surface_height_above_reference_datum,,
MO_TS_TG_KOPER_20250820.nc,SLEV_QC,,Water surface height above a specific datum quality flag,,,
MO_TS_TG_KOPER_20250820.nc,TEMP,degrees_C,Sea temperature,sea_water_temperature,,
MO_TS_TG_KOPER_20250820.nc,TEMP_QC,,Sea temperature quality flag,,,
MO_TS_TG_KOPER_20250820.nc,WDIR,degree,Wind from direction relative true north,wind_from_direction,,
MO_TS_TG_KOPER_20250820.nc,WDIR_QC,,Wind from direction relative true north quality flag,,,
MO_TS_TG_KOPER_20250820.nc,WSPD,m s-1,Horizontal wind speed,wind_speed,,
MO_TS_TG_KOPER_20250820.nc,WSPD_QC,,Horizontal wind speed quality flag,,,
