station_id,sensor_name,sensor_code,quantity,unit,dt,value,lat,lon,codseqst,point,quota,aggiornamento,gestore,provincia
1,Fiames di Cortina Pomagagnon INADEF,PREC,Precipitazione,mm,2026-06-21T16:00:00,0.0,46.5703678,12.1398756,300006240,"{""type"": ""Point"", ""coordinates"": [12.1398756, 46.5703678]}",1805.0,2026-06-21T17:43:01,ARPAV,BELLUNO
3,Arabba,PREC,Precipitazione,mm,2026-06-21T16:00:00,1.2,46.49998395,11.87607301,300000158,"{""type"": ""Point"", ""coordinates"": [11.87607301, 46.49998395]}",1642.0,2026-06-21T17:43:02,ARPAV,BELLUNO
3,Arabba,UMID2M,Umidità relativa a 2m,%,2026-06-21T16:00:00,39.0,46.49998395,11.87607301,300000158,"{""type"": ""Point"", ""coordinates"": [11.87607301, 46.49998395]}",1642.0,2026-06-21T17:43:02,ARPAV,BELLUNO
3,Arabba,TARIA2M,Temperatura aria a 2m,°C,2026-06-21T17:00:00,20.7,46.49998395,11.87607301,300000158,"{""type"": ""Point"", ""coordinates"": [11.87607301, 46.49998395]}",1642.0,2026-06-21T17:43:02,ARPAV,BELLUNO
11,Malga Ciapela,PREC,Precipitazione,mm,2026-06-21T16:00:00,4.0,46.42867129,11.90478762,300000166,"{""type"": ""Point"", ""coordinates"": [11.90478762, 46.42867129]}",1475.0,2026-06-21T17:43:02,ARPAV,BELLUNO
11,Malga Ciapela,TARIA2M,Temperatura aria a 2m,°C,2026-06-21T17:00:00,21.5,46.42867129,11.90478762,300000166,"{""type"": ""Point"", ""coordinates"": [11.90478762, 46.42867129]}",1475.0,2026-06-21T17:43:02,ARPAV,BELLUNO
15,Gares,PREC,Precipitazione,mm,2026-06-21T16:00:00,4.2,46.3131289,11.88273666,300000020,"{""type"": ""Point"", ""coordinates"": [11.88273666, 46.3131289]}",1365.0,2026-06-21T17:43:02,ARPAV,BELLUNO
15,Gares,TARIA2M,Temperatura aria a 2m,°C,2026-06-21T17:00:00,22.1,46.3131289,11.88273666,300000020,"{""type"": ""Point"", ""coordinates"": [11.88273666, 46.3131289]}",1365.0,2026-06-21T17:43:03,ARPAV,BELLUNO
17,Perarolo,PREC,Precipitazione,mm,2026-06-21T16:00:00,0.2,46.39415044,12.35657766,300001140,"{""type"": ""Point"", ""coordinates"": [12.35657766, 46.39415044]}",525.0,2026-06-21T17:43:03,ARPAV,BELLUNO
17,Perarolo,UMID2M,Umidità relativa a 2m,%,2026-06-21T16:00:00,47.0,46.39415044,12.35657766,300001140,"{""type"": ""Point"", ""coordinates"": [12.35657766, 46.39415044]}",525.0,2026-06-21T17:43:03,ARPAV,BELLUNO
17,Perarolo,TARIA2M,Temperatura aria a 2m,°C,2026-06-21T17:00:00,20.1,46.39415044,12.35657766,300001140,"{""type"": ""Point"", ""coordinates"": [12.35657766, 46.39415044]}",525.0,2026-06-21T17:43:03,ARPAV,BELLUNO
19,Agordo,PREC,Precipitazione,mm,2026-06-21T16:00:00,1.8,46.27804651,12.03319083,300000170,"{""type"": ""Point"", ""coordinates"": [12.03319083, 46.27804651]}",585.0,2026-06-21T17:43:03,ARPAV,BELLUNO
19,Agordo,UMID2M,Umidità relativa a 2m,%,2026-06-21T16:00:00,57.0,46.27804651,12.03319083,300000170,"{""type"": ""Point"", ""coordinates"": [12.03319083, 46.27804651]}",585.0,2026-06-21T17:43:03,ARPAV,BELLUNO
19,Agordo,TARIA2M,Temperatura aria a 2m,°C,2026-06-21T17:00:00,27.4,46.27804651,12.03319083,300000170,"{""type"": ""Point"", ""coordinates"": [12.03319083, 46.27804651]}",585.0,2026-06-21T17:43:03,ARPAV,BELLUNO
21,Sant'Andrea (Gosaldo),PREC,Precipitazione,mm,2026-06-21T16:00:00,3.2,46.22965097,11.95772698,300000172,"{""type"": ""Point"", ""coordinates"": [11.95772698, 46.22965097]}",1254.0,2026-06-21T17:43:04,ARPAV,BELLUNO
21,Sant'Andrea (Gosaldo),UMID2M,Umidità relativa a 2m,%,2026-06-21T16:00:00,59.0,46.22965097,11.95772698,300000172,"{""type"": ""Point"", ""coordinates"": [11.95772698, 46.22965097]}",1254.0,2026-06-21T17:43:04,ARPAV,BELLUNO
21,Sant'Andrea (Gosaldo),TARIA2M,Temperatura aria a 2m,°C,2026-06-21T17:00:00,23.7,46.22965097,11.95772698,300000172,"{""type"": ""Point"", ""coordinates"": [11.95772698, 46.22965097]}",1254.0,2026-06-21T17:43:04,ARPAV,BELLUNO
22,Sant'Antonio Tortal,PREC,Precipitazione,mm,2026-06-21T16:00:00,0.0,46.04834616,12.15448034,300000173,"{""type"": ""Point"", ""coordinates"": [12.15448034, 46.04834616]}",544.0,2026-06-21T17:43:04,ARPAV,BELLUNO
22,Sant'Antonio Tortal,TARIA2M,Temperatura aria a 2m,°C,2026-06-21T17:00:00,30.3,46.04834616,12.15448034,300000173,"{""type"": ""Point"", ""coordinates"": [12.15448034, 46.04834616]}",544.0,2026-06-21T17:43:04,ARPAV,BELLUNO
25,Sospirolo,PREC,Precipitazione,mm,2026-06-21T16:00:00,0.0,46.14063559,12.07539462,300001060,"{""type"": ""Point"", ""coordinates"": [12.07539462, 46.14063559]}",426.0,2026-06-21T17:43:04,ARPAV,BELLUNO
25,Sospirolo,TARIA2M,Temperatura aria a 2m,°C,2026-06-21T17:00:00,30.4,46.14063559,12.07539462,300001060,"{""type"": ""Point"", ""coordinates"": [12.07539462, 46.14063559]}",426.0,2026-06-21T17:43:04,ARPAV,BELLUNO
28,Monte Cesen,UMID2M,Umidità relativa a 2m,%,2026-06-21T16:00:00,65.0,45.945242,12.020877,300000175,"{""type"": ""Point"", ""coordinates"": [12.020877, 45.945242]}",1552.0,2026-06-21T17:43:05,ARPAV,TREVISO
28,Monte Cesen,TARIA2M,Temperatura aria a 2m,°C,2026-06-21T17:00:00,20.7,45.945242,12.020877,300000175,"{""type"": ""Point"", ""coordinates"": [12.020877, 45.945242]}",1552.0,2026-06-21T17:43:05,ARPAV,TREVISO
37,Passo Falzarego,PREC,Precipitazione,mm,2026-06-21T16:00:00,1.4,46.51873107,12.00683651,300000177,"{""type"": ""Point"", ""coordinates"": [12.00683651, 46.51873107]}",2090.0,2026-06-21T17:43:05,ARPAV,BELLUNO
37,Passo Falzarego,TARIA2M,Temperatura aria a 2m,°C,2026-06-21T17:00:00,18.8,46.51873107,12.00683651,300000177,"{""type"": ""Point"", ""coordinates"": [12.00683651, 46.51873107]}",2090.0,2026-06-21T17:43:05,ARPAV,BELLUNO
